carat,cut,color,clarity,depth,table,price,x,y,z,price_capped,price_per_carat
0.23,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,2.43,326.0,1417.391304347826
0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31,326.0,1552.3809523809525
0.23,Good,E,VS1,56.9,65.0,327,4.05,4.07,2.31,327.0,1421.7391304347825
0.29,Premium,I,VS2,62.4,58.0,334,4.2,4.23,2.63,334.0,1151.7241379310346
0.31,Good,J,SI2,63.3,58.0,335,4.34,4.35,2.75,335.0,1080.6451612903227
0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,2.48,336.0,1400.0
0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,2.47,336.0,1400.0
0.26,Very Good,H,SI1,61.9,55.0,337,4.07,4.11,2.53,337.0,1296.1538461538462
0.22,Fair,E,VS2,65.1,61.0,337,3.87,3.78,2.49,337.0,1531.8181818181818
0.23,Very Good,H,VS1,59.4,61.0,338,4.0,4.05,2.39,338.0,1469.5652173913043
0.3,Good,J,SI1,64.0,55.0,339,4.25,4.28,2.73,339.0,1130.0
0.23,Ideal,J,VS1,62.8,56.0,340,3.93,3.9,2.46,340.0,1478.2608695652173
0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33,342.0,1554.5454545454545
0.31,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,2.71,344.0,1109.6774193548388
0.2,Premium,E,SI2,60.2,62.0,345,3.79,3.75,2.27,345.0,1725.0
0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68,345.0,1078.125
0.3,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,2.68,348.0,1160.0
0.3,Good,J,SI1,63.4,54.0,351,4.23,4.29,2.7,351.0,1170.0
0.3,Good,J,SI1,63.8,56.0,351,4.23,4.26,2.71,351.0,1170.0
0.3,Very Good,J,SI1,62.7,59.0,351,4.21,4.27,2.66,351.0,1170.0
0.3,Good,I,SI2,63.3,56.0,351,4.26,4.3,2.71,351.0,1170.0
0.23,Very Good,E,VS2,63.8,55.0,352,3.85,3.92,2.48,352.0,1530.4347826086955
0.23,Very Good,H,VS1,61.0,57.0,353,3.94,3.96,2.41,353.0,1534.782608695652
0.31,Very Good,J,SI1,59.4,62.0,353,4.39,4.43,2.62,353.0,1138.7096774193549
0.31,Very Good,J,SI1,58.1,62.0,353,4.44,4.47,2.59,353.0,1138.7096774193549
0.23,Very Good,G,VVS2,60.4,58.0,354,3.97,4.01,2.41,354.0,1539.1304347826085
0.24,Premium,I,VS1,62.5,57.0,355,3.97,3.94,2.47,355.0,1479.1666666666667
0.3,Very Good,J,VS2,62.2,57.0,357,4.28,4.3,2.67,357.0,1190.0
0.23,Very Good,D,VS2,60.5,61.0,357,3.96,3.97,2.4,357.0,1552.1739130434783
0.23,Very Good,F,VS1,60.9,57.0,357,3.96,3.99,2.42,357.0,1552.1739130434783
0.23,Very Good,F,VS1,60.0,57.0,402,4.0,4.03,2.41,402.0,1747.8260869565217
0.23,Very Good,F,VS1,59.8,57.0,402,4.04,4.06,2.42,402.0,1747.8260869565217
0.23,Very Good,E,VS1,60.7,59.0,402,3.97,4.01,2.42,402.0,1747.8260869565217
0.23,Very Good,E,VS1,59.5,58.0,402,4.01,4.06,2.4,402.0,1747.8260869565217
0.23,Very Good,D,VS1,61.9,58.0,402,3.92,3.96,2.44,402.0,1747.8260869565217
0.23,Good,F,VS1,58.2,59.0,402,4.06,4.08,2.37,402.0,1747.8260869565217
0.23,Good,E,VS1,64.1,59.0,402,3.83,3.85,2.46,402.0,1747.8260869565217
0.31,Good,H,SI1,64.0,54.0,402,4.29,4.31,2.75,402.0,1296.774193548387
0.26,Very Good,D,VS2,60.8,59.0,403,4.13,4.16,2.52,403.0,1550.0
0.33,Ideal,I,SI2,61.8,55.0,403,4.49,4.51,2.78,403.0,1221.2121212121212
0.33,Ideal,I,SI2,61.2,56.0,403,4.49,4.5,2.75,403.0,1221.2121212121212
0.33,Ideal,J,SI1,61.1,56.0,403,4.49,4.55,2.76,403.0,1221.2121212121212
0.26,Good,D,VS2,65.2,56.0,403,3.99,4.02,2.61,403.0,1550.0
0.26,Good,D,VS1,58.4,63.0,403,4.19,4.24,2.46,403.0,1550.0
0.32,Good,H,SI2,63.1,56.0,403,4.34,4.37,2.75,403.0,1259.375
0.29,Premium,F,SI1,62.4,58.0,403,4.24,4.26,2.65,403.0,1389.6551724137933
0.32,Very Good,H,SI2,61.8,55.0,403,4.35,4.42,2.71,403.0,1259.375
0.32,Good,H,SI2,63.8,56.0,403,4.36,4.38,2.79,403.0,1259.375
0.25,Very Good,E,VS2,63.3,60.0,404,4.0,4.03,2.54,404.0,1616.0
0.29,Very Good,H,SI2,60.7,60.0,404,4.33,4.37,2.64,404.0,1393.103448275862
0.24,Very Good,F,SI1,60.9,61.0,404,4.02,4.03,2.45,404.0,1683.3333333333335
0.23,Ideal,G,VS1,61.9,54.0,404,3.93,3.95,2.44,404.0,1756.5217391304348
0.32,Ideal,I,SI1,60.9,55.0,404,4.45,4.48,2.72,404.0,1262.5
0.22,Premium,E,VS2,61.6,58.0,404,3.93,3.89,2.41,404.0,1836.3636363636363
0.22,Premium,D,VS2,59.3,62.0,404,3.91,3.88,2.31,404.0,1836.3636363636363
0.3,Ideal,I,SI2,61.0,59.0,405,4.3,4.33,2.63,405.0,1350.0
0.3,Premium,J,SI2,59.3,61.0,405,4.43,4.38,2.61,405.0,1350.0
0.3,Very Good,I,SI1,62.6,57.0,405,4.25,4.28,2.67,405.0,1350.0
0.3,Very Good,I,SI1,63.0,57.0,405,4.28,4.32,2.71,405.0,1350.0
0.3,Good,I,SI1,63.2,55.0,405,4.25,4.29,2.7,405.0,1350.0
0.35,Ideal,I,VS1,60.9,57.0,552,4.54,4.59,2.78,552.0,1577.1428571428573
0.3,Premium,D,SI1,62.6,59.0,552,4.23,4.27,2.66,552.0,1840.0
0.3,Ideal,D,SI1,62.5,57.0,552,4.29,4.32,2.69,552.0,1840.0
0.3,Ideal,D,SI1,62.1,56.0,552,4.3,4.33,2.68,552.0,1840.0
0.42,Premium,I,SI2,61.5,59.0,552,4.78,4.84,2.96,552.0,1314.2857142857142
0.28,Ideal,G,VVS2,61.4,56.0,553,4.19,4.22,2.58,553.0,1974.9999999999998
0.32,Ideal,I,VVS1,62.0,55.3,553,4.39,4.42,2.73,553.0,1728.125
0.31,Very Good,G,SI1,63.3,57.0,553,4.33,4.3,2.73,553.0,1783.8709677419356
0.31,Premium,G,SI1,61.8,58.0,553,4.35,4.32,2.68,553.0,1783.8709677419356
0.24,Premium,E,VVS1,60.7,58.0,553,4.01,4.03,2.44,553.0,2304.166666666667
0.24,Very Good,D,VVS1,61.5,60.0,553,3.97,4.0,2.45,553.0,2304.166666666667
0.3,Very Good,H,SI1,63.1,56.0,554,4.29,4.27,2.7,554.0,1846.6666666666667
0.3,Premium,H,SI1,62.9,59.0,554,4.28,4.24,2.68,554.0,1846.6666666666667
0.3,Premium,H,SI1,62.5,57.0,554,4.29,4.25,2.67,554.0,1846.6666666666667
0.3,Good,H,SI1,63.7,57.0,554,4.28,4.26,2.72,554.0,1846.6666666666667
0.26,Very Good,F,VVS2,59.2,60.0,554,4.19,4.22,2.49,554.0,2130.7692307692305
0.26,Very Good,E,VVS2,59.9,58.0,554,4.15,4.23,2.51,554.0,2130.7692307692305
0.26,Very Good,D,VVS2,62.4,54.0,554,4.08,4.13,2.56,554.0,2130.7692307692305
0.26,Very Good,D,VVS2,62.8,60.0,554,4.01,4.05,2.53,554.0,2130.7692307692305
0.26,Very Good,E,VVS1,62.6,59.0,554,4.06,4.09,2.55,554.0,2130.7692307692305
0.26,Very Good,E,VVS1,63.4,59.0,554,4.0,4.04,2.55,554.0,2130.7692307692305
0.26,Very Good,D,VVS1,62.1,60.0,554,4.03,4.12,2.53,554.0,2130.7692307692305
0.26,Ideal,E,VVS2,62.9,58.0,554,4.02,4.06,2.54,554.0,2130.7692307692305
0.38,Ideal,I,SI2,61.6,56.0,554,4.65,4.67,2.87,554.0,1457.8947368421052
0.26,Good,E,VVS1,57.9,60.0,554,4.22,4.25,2.45,554.0,2130.7692307692305
0.24,Premium,G,VVS1,62.3,59.0,554,3.95,3.92,2.45,554.0,2308.3333333333335
0.24,Premium,H,VVS1,61.2,58.0,554,4.01,3.96,2.44,554.0,2308.3333333333335
0.24,Premium,H,VVS1,60.8,59.0,554,4.02,4.0,2.44,554.0,2308.3333333333335
0.24,Premium,H,VVS2,60.7,58.0,554,4.07,4.04,2.46,554.0,2308.3333333333335
0.32,Premium,I,SI1,62.9,58.0,554,4.35,4.33,2.73,554.0,1731.25
0.7,Ideal,E,SI1,62.5,57.0,2757,5.7,5.72,3.57,2757.0,3938.571428571429
0.86,Fair,E,SI2,55.1,69.0,2757,6.45,6.33,3.52,2757.0,3205.813953488372
0.7,Ideal,G,VS2,61.6,56.0,2757,5.7,5.67,3.5,2757.0,3938.571428571429
0.71,Very Good,E,VS2,62.4,57.0,2759,5.68,5.73,3.56,2759.0,3885.9154929577467
0.78,Very Good,G,SI2,63.8,56.0,2759,5.81,5.85,3.72,2759.0,3537.179487179487
0.7,Good,E,VS2,57.5,58.0,2759,5.85,5.9,3.38,2759.0,3941.4285714285716
0.7,Good,F,VS1,59.4,62.0,2759,5.71,5.76,3.4,2759.0,3941.4285714285716
0.96,Fair,F,SI2,66.3,62.0,2759,6.27,5.95,4.07,2759.0,2873.9583333333335
0.73,Very Good,E,SI1,61.6,59.0,2760,5.77,5.78,3.56,2760.0,3780.8219178082195
0.8,Premium,H,SI1,61.5,58.0,2760,5.97,5.93,3.66,2760.0,3450.0
0.75,Very Good,D,SI1,63.2,56.0,2760,5.8,5.75,3.65,2760.0,3680.0
0.75,Premium,E,SI1,59.9,54.0,2760,6.0,5.96,3.58,2760.0,3680.0
0.74,Ideal,G,SI1,61.6,55.0,2760,5.8,5.85,3.59,2760.0,3729.7297297297296
0.75,Premium,G,VS2,61.7,58.0,2760,5.85,5.79,3.59,2760.0,3680.0
0.8,Ideal,I,VS1,62.9,56.0,2760,5.94,5.87,3.72,2760.0,3450.0
0.75,Ideal,G,SI1,62.2,55.0,2760,5.87,5.8,3.63,2760.0,3680.0
0.8,Premium,G,SI1,63.0,59.0,2760,5.9,5.81,3.69,2760.0,3450.0
0.74,Ideal,I,VVS2,62.3,55.0,2761,5.77,5.81,3.61,2761.0,3731.0810810810813
0.81,Ideal,F,SI2,58.8,57.0,2761,6.14,6.11,3.6,2761.0,3408.6419753086416
0.59,Ideal,E,VVS2,62.0,55.0,2761,5.38,5.43,3.35,2761.0,4679.661016949153
0.8,Ideal,F,SI2,61.4,57.0,2761,5.96,6.0,3.67,2761.0,3451.25
0.74,Ideal,E,SI2,62.2,56.0,2761,5.8,5.84,3.62,2761.0,3731.0810810810813
0.9,Premium,I,VS2,63.0,58.0,2761,6.16,6.12,3.87,2761.0,3067.777777777778
0.74,Very Good,G,SI1,62.2,59.0,2762,5.73,5.82,3.59,2762.0,3732.4324324324325
0.73,Ideal,F,VS2,62.6,56.0,2762,5.77,5.74,3.6,2762.0,3783.5616438356165
0.73,Ideal,F,VS2,62.7,53.0,2762,5.8,5.75,3.62,2762.0,3783.5616438356165
0.8,Premium,F,SI2,61.7,58.0,2762,5.98,5.94,3.68,2762.0,3452.5
0.71,Ideal,G,VS2,62.4,54.0,2762,5.72,5.76,3.58,2762.0,3890.1408450704225
0.7,Ideal,E,VS2,60.7,58.0,2762,5.73,5.76,3.49,2762.0,3945.714285714286
0.8,Ideal,F,SI2,59.9,59.0,2762,6.01,6.07,3.62,2762.0,3452.5
0.71,Ideal,D,SI2,62.3,56.0,2762,5.73,5.69,3.56,2762.0,3890.1408450704225
0.74,Ideal,E,SI1,62.3,54.0,2762,5.8,5.83,3.62,2762.0,3732.4324324324325
0.7,Very Good,F,VS2,61.7,63.0,2762,5.64,5.61,3.47,2762.0,3945.714285714286
0.7,Fair,F,VS2,64.5,57.0,2762,5.57,5.53,3.58,2762.0,3945.714285714286
0.7,Fair,F,VS2,65.3,55.0,2762,5.63,5.58,3.66,2762.0,3945.714285714286
0.7,Premium,F,VS2,61.6,60.0,2762,5.65,5.59,3.46,2762.0,3945.714285714286
0.91,Premium,H,SI1,61.4,56.0,2763,6.09,5.97,3.7,2763.0,3036.263736263736
0.61,Very Good,D,VVS2,59.6,57.0,2763,5.56,5.58,3.32,2763.0,4529.508196721312
0.91,Fair,H,SI2,64.4,57.0,2763,6.11,6.09,3.93,2763.0,3036.263736263736
0.91,Fair,H,SI2,65.7,60.0,2763,6.03,5.99,3.95,2763.0,3036.263736263736
0.77,Ideal,H,VS2,62.0,56.0,2763,5.89,5.86,3.64,2763.0,3588.311688311688
0.71,Very Good,D,SI1,63.6,58.0,2764,5.64,5.68,3.6,2764.0,3892.9577464788736
0.71,Ideal,D,SI1,61.9,59.0,2764,5.69,5.72,3.53,2764.0,3892.9577464788736
0.7,Very Good,E,VS2,62.6,60.0,2765,5.62,5.65,3.53,2765.0,3950.0000000000005
0.77,Very Good,H,VS1,61.3,60.0,2765,5.88,5.9,3.61,2765.0,3590.909090909091
0.63,Premium,E,VVS1,60.9,60.0,2765,5.52,5.55,3.37,2765.0,4388.888888888889
0.71,Very Good,F,VS1,60.1,62.0,2765,5.74,5.77,3.46,2765.0,3894.366197183099
0.71,Premium,F,VS1,61.8,59.0,2765,5.69,5.73,3.53,2765.0,3894.366197183099
0.76,Ideal,H,SI1,61.2,57.0,2765,5.88,5.91,3.61,2765.0,3638.157894736842
0.64,Ideal,G,VVS1,61.9,56.0,2766,5.53,5.56,3.43,2766.0,4321.875
0.71,Premium,G,VS2,60.9,57.0,2766,5.78,5.75,3.51,2766.0,3895.774647887324
0.71,Premium,G,VS2,59.8,56.0,2766,5.89,5.81,3.5,2766.0,3895.774647887324
0.7,Very Good,D,VS2,61.8,55.0,2767,5.68,5.72,3.52,2767.0,3952.857142857143
0.7,Very Good,F,VS1,60.0,57.0,2767,5.8,5.87,3.5,2767.0,3952.857142857143
0.71,Ideal,D,SI2,61.6,55.0,2767,5.74,5.76,3.54,2767.0,3897.1830985915494
0.7,Good,H,VVS2,62.1,64.0,2767,5.62,5.65,3.5,2767.0,3952.857142857143
0.71,Very Good,G,VS1,63.3,59.0,2768,5.52,5.61,3.52,2768.0,3898.5915492957747
0.73,Very Good,D,SI1,60.2,56.0,2768,5.83,5.87,3.52,2768.0,3791.780821917808
0.7,Very Good,D,SI1,61.1,58.0,2768,5.66,5.73,3.48,2768.0,3954.2857142857147
0.7,Ideal,E,SI1,60.9,57.0,2768,5.73,5.76,3.5,2768.0,3954.2857142857147
0.71,Premium,D,SI2,61.7,59.0,2768,5.71,5.67,3.51,2768.0,3898.5915492957747
0.74,Ideal,I,SI1,61.3,56.0,2769,5.82,5.86,3.57,2769.0,3741.891891891892
0.71,Premium,D,VS2,62.5,60.0,2770,5.65,5.61,3.52,2770.0,3901.4084507042257
0.73,Premium,G,VS2,61.4,59.0,2770,5.83,5.76,3.56,2770.0,3794.5205479452056
0.76,Very Good,F,SI1,62.9,57.0,2770,5.79,5.81,3.65,2770.0,3644.736842105263
0.76,Ideal,D,SI2,62.4,57.0,2770,5.78,5.83,3.62,2770.0,3644.736842105263
0.71,Ideal,F,SI1,60.7,56.0,2770,5.77,5.8,3.51,2770.0,3901.4084507042257
