total_bill,tip,sex,smoker,day,time,size,tip_pct,tip_capped,bill_per_person
16.99,1.01,Female,No,Sun,Dinner,2,0.05944673337257211,1.01,8.495
10.34,1.66,Male,No,Sun,Dinner,3,0.16054158607350097,1.66,3.4466666666666668
21.01,3.5,Male,No,Sun,Dinner,3,0.16658733936220846,3.5,7.003333333333334
23.68,3.31,Male,No,Sun,Dinner,2,0.1397804054054054,3.31,11.84
24.59,3.61,Female,No,Sun,Dinner,4,0.14680764538430255,3.61,6.1475
25.29,4.71,Male,No,Sun,Dinner,4,0.18623962040332148,4.71,6.3225
8.77,2.0,Male,No,Sun,Dinner,2,0.22805017103762829,2.0,4.385
26.88,3.12,Male,No,Sun,Dinner,4,0.11607142857142858,3.12,6.72
15.04,1.96,Male,No,Sun,Dinner,2,0.13031914893617022,1.96,7.52
14.78,3.23,Male,No,Sun,Dinner,2,0.2185385656292287,3.23,7.39
10.27,1.71,Male,No,Sun,Dinner,2,0.1665043816942551,1.71,5.135
35.26,5.0,Female,No,Sun,Dinner,4,0.14180374361883155,5.0,8.815
15.42,1.57,Male,No,Sun,Dinner,2,0.10181582360570687,1.57,7.71
18.43,3.0,Male,No,Sun,Dinner,4,0.16277807921866522,3.0,4.6075
14.83,3.02,Female,No,Sun,Dinner,2,0.20364126770060686,3.02,7.415
21.58,3.92,Male,No,Sun,Dinner,2,0.18164967562557924,3.92,10.79
10.33,1.67,Female,No,Sun,Dinner,3,0.1616650532429816,1.67,3.4433333333333334
16.29,3.71,Male,No,Sun,Dinner,3,0.22774708410067526,3.71,5.43
16.97,3.5,Female,No,Sun,Dinner,3,0.20624631703005306,3.5,5.656666666666666
20.65,3.35,Male,No,Sat,Dinner,3,0.16222760290556903,3.35,6.883333333333333
17.92,4.08,Male,No,Sat,Dinner,2,0.22767857142857142,4.08,8.96
20.29,2.75,Female,No,Sat,Dinner,2,0.13553474618038444,2.75,10.145
15.77,2.23,Female,No,Sat,Dinner,2,0.14140773620798985,2.23,7.885
39.42,7.58,Male,No,Sat,Dinner,4,0.19228817858954844,5.90625,9.855
19.82,3.18,Male,No,Sat,Dinner,2,0.16044399596367306,3.18,9.91
17.81,2.34,Male,No,Sat,Dinner,4,0.13138686131386862,2.34,4.4525
13.37,2.0,Male,No,Sat,Dinner,2,0.14958863126402394,2.0,6.685
12.69,2.0,Male,No,Sat,Dinner,2,0.15760441292356187,2.0,6.345
21.7,4.3,Male,No,Sat,Dinner,2,0.19815668202764977,4.3,10.85
19.65,3.0,Female,No,Sat,Dinner,2,0.15267175572519084,3.0,9.825
9.55,1.45,Male,No,Sat,Dinner,2,0.1518324607329843,1.45,4.775
18.35,2.5,Male,No,Sat,Dinner,4,0.13623978201634876,2.5,4.5875
15.06,3.0,Female,No,Sat,Dinner,2,0.199203187250996,3.0,7.53
20.69,2.45,Female,No,Sat,Dinner,4,0.11841469308844853,2.45,5.1725
17.78,3.27,Male,No,Sat,Dinner,2,0.1839145106861642,3.27,8.89
24.06,3.6,Male,No,Sat,Dinner,3,0.14962593516209477,3.6,8.02
16.31,2.0,Male,No,Sat,Dinner,3,0.12262415695892091,2.0,5.4366666666666665
16.93,3.07,Female,No,Sat,Dinner,3,0.1813349084465446,3.07,5.6433333333333335
18.69,2.31,Male,No,Sat,Dinner,3,0.12359550561797752,2.31,6.23
31.27,5.0,Male,No,Sat,Dinner,3,0.1598976654940838,5.0,10.423333333333334
16.04,2.24,Male,No,Sat,Dinner,3,0.13965087281795513,2.24,5.346666666666667
17.46,2.54,Male,No,Sun,Dinner,2,0.14547537227949597,2.54,8.73
13.94,3.06,Male,No,Sun,Dinner,2,0.21951219512195122,3.06,6.97
9.68,1.32,Male,No,Sun,Dinner,2,0.13636363636363638,1.32,4.84
30.4,5.6,Male,No,Sun,Dinner,4,0.18421052631578946,5.6,7.6
18.29,3.0,Male,No,Sun,Dinner,2,0.16402405686167304,3.0,9.145
22.23,5.0,Male,No,Sun,Dinner,2,0.22492127755285649,5.0,11.115
32.4,6.0,Male,No,Sun,Dinner,4,0.1851851851851852,5.90625,8.1
28.55,2.05,Male,No,Sun,Dinner,3,0.07180385288966724,2.05,9.516666666666667
18.04,3.0,Male,No,Sun,Dinner,2,0.16629711751662973,3.0,9.02
12.54,2.5,Male,No,Sun,Dinner,2,0.19936204146730463,2.5,6.27
10.29,2.6,Female,No,Sun,Dinner,2,0.2526724975704568,2.6,5.145
34.81,5.2,Female,No,Sun,Dinner,4,0.14938236139040506,5.2,8.7025
9.94,1.56,Male,No,Sun,Dinner,2,0.15694164989939638,1.56,4.97
25.56,4.34,Male,No,Sun,Dinner,4,0.1697965571205008,4.34,6.39
19.49,3.51,Male,No,Sun,Dinner,2,0.18009235505387378,3.51,9.745
38.01,3.0,Male,Yes,Sat,Dinner,4,0.07892659826361484,3.0,9.5025
26.41,1.5,Female,No,Sat,Dinner,2,0.05679666792881484,1.5,13.205
11.24,1.76,Male,Yes,Sat,Dinner,2,0.15658362989323843,1.76,5.62
48.27,6.73,Male,No,Sat,Dinner,4,0.13942407292314066,5.90625,12.0675
20.29,3.21,Male,Yes,Sat,Dinner,2,0.1582060128141942,3.21,10.145
13.81,2.0,Male,Yes,Sat,Dinner,2,0.1448225923244026,2.0,6.905
11.02,1.98,Male,Yes,Sat,Dinner,2,0.17967332123411978,1.98,5.51
18.29,3.76,Male,Yes,Sat,Dinner,4,0.20557681793329688,3.76,4.5725
17.59,2.64,Male,No,Sat,Dinner,3,0.15008527572484368,2.64,5.863333333333333
20.08,3.15,Male,No,Sat,Dinner,3,0.15687250996015936,3.15,6.6933333333333325
16.45,2.47,Female,No,Sat,Dinner,2,0.1501519756838906,2.47,8.225
3.07,1.0,Female,Yes,Sat,Dinner,1,0.32573289902280134,1.0,3.07
20.23,2.01,Male,No,Sat,Dinner,2,0.09935739001482945,2.01,10.115
15.01,2.09,Male,Yes,Sat,Dinner,2,0.13924050632911392,2.09,7.505
12.02,1.97,Male,No,Sat,Dinner,2,0.1638935108153078,1.97,6.01
17.07,3.0,Female,No,Sat,Dinner,3,0.1757469244288225,3.0,5.69
26.86,3.14,Female,Yes,Sat,Dinner,2,0.11690245718540582,3.14,13.43
25.28,5.0,Female,Yes,Sat,Dinner,2,0.19778481012658228,5.0,12.64
14.73,2.2,Female,No,Sat,Dinner,2,0.14935505770536323,2.2,7.365
10.51,1.25,Male,No,Sat,Dinner,2,0.11893434823977164,1.25,5.255
17.92,3.08,Male,Yes,Sat,Dinner,2,0.171875,3.08,8.96
27.2,4.0,Male,No,Thur,Lunch,4,0.14705882352941177,4.0,6.8
22.76,3.0,Male,No,Thur,Lunch,2,0.13181019332161686,3.0,11.38
17.29,2.71,Male,No,Thur,Lunch,2,0.156737998843262,2.71,8.645
19.44,3.0,Male,Yes,Thur,Lunch,2,0.15432098765432098,3.0,9.72
16.66,3.4,Male,No,Thur,Lunch,2,0.20408163265306123,3.4,8.33
10.07,1.83,Female,No,Thur,Lunch,1,0.1817279046673287,1.83,10.07
32.68,5.0,Male,Yes,Thur,Lunch,2,0.15299877600979192,5.0,16.34
15.98,2.03,Male,No,Thur,Lunch,2,0.12703379224030037,2.03,7.99
34.83,5.17,Female,No,Thur,Lunch,4,0.14843525696238874,5.17,8.7075
13.03,2.0,Male,No,Thur,Lunch,2,0.15349194167306218,2.0,6.515
18.28,4.0,Male,No,Thur,Lunch,2,0.2188183807439825,4.0,9.14
24.71,5.85,Male,No,Thur,Lunch,2,0.23674625657628487,5.85,12.355
21.16,3.0,Male,No,Thur,Lunch,2,0.14177693761814744,3.0,10.58
28.97,3.0,Male,Yes,Fri,Dinner,2,0.10355540214014498,3.0,14.485
22.49,3.5,Male,No,Fri,Dinner,2,0.15562472209871056,3.5,11.245
5.75,1.0,Female,Yes,Fri,Dinner,2,0.17391304347826086,1.0,2.875
16.32,4.3,Female,Yes,Fri,Dinner,2,0.26348039215686275,4.3,8.16
22.75,3.25,Female,No,Fri,Dinner,2,0.14285714285714285,3.25,11.375
40.17,4.73,Male,Yes,Fri,Dinner,4,0.1177495643515061,4.73,10.0425
27.28,4.0,Male,Yes,Fri,Dinner,2,0.14662756598240467,4.0,13.64
12.03,1.5,Male,Yes,Fri,Dinner,2,0.12468827930174564,1.5,6.015
21.01,3.0,Male,Yes,Fri,Dinner,2,0.1427891480247501,3.0,10.505
12.46,1.5,Male,No,Fri,Dinner,2,0.1203852327447833,1.5,6.23
11.35,2.5,Female,Yes,Fri,Dinner,2,0.22026431718061676,2.5,5.675
15.38,3.0,Female,Yes,Fri,Dinner,2,0.19505851755526657,3.0,7.69
44.3,2.5,Female,Yes,Sat,Dinner,3,0.05643340857787811,2.5,14.766666666666666
22.42,3.48,Female,Yes,Sat,Dinner,2,0.15521855486173058,3.48,11.21
20.92,4.08,Female,No,Sat,Dinner,2,0.1950286806883365,4.08,10.46
15.36,1.64,Male,Yes,Sat,Dinner,2,0.10677083333333333,1.64,7.68
20.49,4.06,Male,Yes,Sat,Dinner,2,0.19814543679843827,4.06,10.245
25.21,4.29,Male,Yes,Sat,Dinner,2,0.1701705672352241,4.29,12.605
18.24,3.76,Male,No,Sat,Dinner,2,0.20614035087719298,3.76,9.12
14.31,4.0,Female,Yes,Sat,Dinner,2,0.2795248078266946,4.0,7.155
14.0,3.0,Male,No,Sat,Dinner,2,0.21428571428571427,3.0,7.0
7.25,1.0,Female,No,Sat,Dinner,1,0.13793103448275862,1.0,7.25
38.07,4.0,Male,No,Sun,Dinner,3,0.10506960861570791,4.0,12.69
23.95,2.55,Male,No,Sun,Dinner,2,0.10647181628392484,2.55,11.975
25.71,4.0,Female,No,Sun,Dinner,3,0.15558148580318942,4.0,8.57
17.31,3.5,Female,No,Sun,Dinner,2,0.20219526285384173,3.5,8.655
29.93,5.07,Male,No,Sun,Dinner,4,0.1693952555963916,5.07,7.4825
10.65,1.5,Female,No,Thur,Lunch,2,0.14084507042253522,1.5,5.325
12.43,1.8,Female,No,Thur,Lunch,2,0.14481094127111827,1.8,6.215
24.08,2.92,Female,No,Thur,Lunch,4,0.1212624584717608,2.92,6.02
11.69,2.31,Male,No,Thur,Lunch,2,0.19760479041916168,2.31,5.845
13.42,1.68,Female,No,Thur,Lunch,2,0.12518628912071533,1.68,6.71
14.26,2.5,Male,No,Thur,Lunch,2,0.1753155680224404,2.5,7.13
15.95,2.0,Male,No,Thur,Lunch,2,0.12539184952978058,2.0,7.975
12.48,2.52,Female,No,Thur,Lunch,2,0.20192307692307693,2.52,6.24
29.8,4.2,Female,No,Thur,Lunch,6,0.14093959731543623,4.2,4.966666666666667
