survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,fare_capped,family_size,is_alone
1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False,71.2833,2,0
1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False,53.1,2,0
0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True,51.8625,1,1
1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False,16.7,3,0
1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True,26.55,1,1
1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,13.0,1,1
1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True,35.5,1,1
0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False,180.070875,6,0
1,1,female,29.69911764705882,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,146.5208,2,0
1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False,76.7292,2,0
0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False,61.9792,2,0
1,1,male,29.69911764705882,0,0,35.5,S,First,man,True,C,Southampton,yes,True,35.5,1,1
1,1,female,38.0,0,0,80.0,S,First,woman,False,B,,yes,True,80.0,1,1
0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False,83.475,2,0
1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,10.5,1,1
0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,7.65,1,1
1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,180.070875,6,0
0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False,61.175,2,0
0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True,34.6542,1,1
1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False,63.3583,2,0
0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,77.2875,2,0
0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True,52.0,1,1
0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False,180.070875,2,0
1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True,13.0,1,1
0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,77.2875,2,0
1,3,female,29.69911764705882,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False,22.3583,3,0
1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False,26.2833,3,0
